"INTERPRO2GO","SUBERR793601"
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;",35
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;IPR014151 DNA helicase, AddA type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000333 Ser/Thr protein kinase, TGFB receptor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000343 Tetrapyrrole biosynthesis, glutamyl-tRNA reductase;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000559 Formate-tetrahydrofolate ligase, FTHFS;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000659 Pyridoxamine 5'-phosphate oxidase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000740 GrpE nucleotide exchange factor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000850 Adenylate kinase/UMP-CMP kinase;IPR006259 Adenylate kinase subfamily;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000870 Homoserine kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000924 Glutamyl/glutaminyl-tRNA synthetase;IPR004527 Glutamate-tRNA ligase, bacterial/mitochondrial;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000924 Glutamyl/glutaminyl-tRNA synthetase;IPR022380 Glutamyl-Q tRNA(Asp) synthetase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001114 Adenylosuccinate synthetase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR011557 DNA gyrase, subunit B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;",1
