"eggnog","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG1192 cobyrinic Acid a,c-diamide synthase;",2,NA,NA,NA,3,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG2177 Part of the ABC transporter FtsEX involved in;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG2884 Cell division ATP-binding protein ftsE;",1,NA,NA,NA,NA,2,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG5024 g2 mitotic-specific;",1,NA,1,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG5032 phosphatidylinositol kinase activity;",1,NA,NA,NA,NA,1,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG5049 5'-3' exoribonuclease;",1,5,6,4,NA,5,2,2,6
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0438 Glycosyl transferase (Group 1;",1,NA,1,5,3,1,6,3,4
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0449 Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity);",2,NA,1,NA,1,NA,1,3,1
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0463 Glycosyl transferase, family 2;",1,NA,1,2,1,NA,2,1,2
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0668 Mechanosensitive ion channel;",1,1,2,NA,1,2,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0702 epimerase dehydratase;",2,NA,2,NA,NA,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0729 Surface Antigen;",1,NA,NA,NA,1,1,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0739 peptidase';",1,NA,NA,3,2,3,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0766 Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity);",2,2,1,NA,NA,2,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0768 penicillin-binding protein;",1,2,1,NA,4,2,2,4,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0793 protease;",1,NA,NA,NA,1,1,2,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0859 heptosyltransferase;",1,NA,NA,NA,1,NA,NA,NA,NA
