"ASV","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"root;",59,81,10,43,16,147,56,26,7
"root; cellular organisms;",810,1330,1042,1904,1421,1637,1308,1110,1834
"root; cellular organisms; Bacteria;",707,1416,862,705,1596,1147,1612,1477,1111
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group;",1,3,2,3,2,1,1,3,2
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes;",29,32,49,141,149,70,189,204,36
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae;",5,3,2,11,6,9,30,23,8
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Chitinophaga;",10,4,25,13,9,12,122,111,6
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Niastella;",3,NA,2,4,NA,NA,NA,7,2
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; Niastella; unclassified Niastella; Niastella sp. CF465;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Cytophagia; Cytophagales;",1,1,2,1,3,5,5,4,3
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Ohtaekwangia; Ohtaekwangia koreensis;",2,5,2,5,NA,4,NA,NA,3
"root; cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Chryseobacterium;",4,3,NA,NA,NA,4,3,14,NA
"root; cellular organisms; Bacteria; Proteobacteria;",142,64,141,238,259,227,366,314,103
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria;",36,28,63,92,110,89,111,84,43
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales;",2,1,4,4,4,1,4,2,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae;",6,1,11,10,13,6,12,8,2
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter;",10,5,28,18,19,26,19,20,12
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;",49,72,74,106,139,123,276,254,42
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylovirgula; unclassified Methylovirgula; Methylovirgula sp. 4M-Z18;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae;",4,NA,4,1,4,3,6,7,4
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae;",1,NA,NA,3,NA,NA,7,5,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia;",2,NA,NA,4,NA,NA,6,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium; unclassified Methylobacterium;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium; unclassified Methylobacterium; Methylobacterium sp. AMS5;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum; Methylorubrum populi;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group;",2,4,NA,7,21,15,22,30,4
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales;",23,20,20,55,53,38,34,27,18
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae;",16,17,20,29,42,39,31,31,14
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium;",2,NA,4,8,6,6,6,6,2
"root; cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; unclassified Alphaproteobacteria;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria;",27,7,10,44,27,28,35,27,22
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;",44,15,28,30,93,46,57,52,30
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae;",2,5,3,NA,7,7,7,4,2
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter;",2,16,8,NA,16,7,12,4,NA
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae;",3,NA,NA,5,7,10,7,3,NA
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae;",9,NA,13,12,11,9,10,18,9
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax;",6,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax;",7,NA,9,7,NA,10,3,4,5
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae;",2,NA,NA,NA,NA,NA,NA,NA,4
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; unclassified Burkholderiales (miscellaneous); Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_64_960;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria;",2,NA,NA,4,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales;",2,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria;",18,11,7,29,57,49,56,51,13
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio;",1,NA,NA,4,NA,NA,NA,NA,4
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio; unclassified Cellvibrio;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio; unclassified Cellvibrio; Cellvibrio sp. BR;",3,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae;",2,NA,NA,NA,NA,4,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;",1,NA,NA,3,4,2,4,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae;",1,1,NA,NA,NA,2,2,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas;",13,22,24,24,91,89,112,105,15
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; unclassified Pseudomonas; Pseudomonas sp. KBS0710;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;",5,3,5,7,2,3,2,5,7
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae;",2,NA,3,3,3,NA,6,7,3
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae;",2,4,5,NA,4,NA,16,12,2
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas;",1,3,5,NA,NA,NA,18,8,NA
"root; cellular organisms; Bacteria; PVC group;",2,1,1,2,1,NA,2,2,1
"root; cellular organisms; Bacteria; PVC group; Planctomycetes;",1,4,2,NA,NA,NA,3,3,NA
"root; cellular organisms; Bacteria; PVC group; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Planctomyces; unclassified Planctomyces; Planctomyces sp. SH-PL14;",1,NA,NA,NA,NA,NA,NA,NA,NA
