ERR793600.742976	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793600.289248	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0028 acetolactate synthase;
ERR793600.474134	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0028 acetolactate synthase;
ERR793600.474134	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0028 acetolactate synthase;
ERR793600.497117	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0028 acetolactate synthase;
ERR793600.911777	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0029 L-aspartate oxidase;
ERR793600.911777	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0029 L-aspartate oxidase;
ERR793600.428196	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0038 chloride channel;
ERR793600.428196	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0038 chloride channel;
ERR793600.557047	eggNOG;metabolism;[C] Energy production and conversion;COG0045 Succinyl-CoA synthetase subunit beta;
ERR793600.1351260	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0048 Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity);
ERR793600.1351642	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0048 Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity);
ERR793600.25174	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0052 30S ribosomal protein S2;
ERR793600.415057	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0061 Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity);
ERR793600.41208	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0065 Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity);
ERR793600.1232425	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0066 Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity);
ERR793600.1235371	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0071 response to heat;
ERR793600.1267135	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0071 response to heat;
ERR793600.161479	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0071 response to heat;
ERR793600.893926	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0071 response to heat;
