contigName	contigLen	totalAvgDepth	final.contigs.fa.gz.SUBERR793599_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793599_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793600_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793600_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793601_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793601_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793603_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793603_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793604_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793604_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793605_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793605_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793606_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793606_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793607_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793607_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793608_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793608_1.fq.gz.bam-var
k127_3470	208	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1735	224	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_0	323	1.63006	0	0	0	0	0	0	0	0	0	0	1.21387	0.517946	0.416185	0.244388	0	0	0	0
k127_8675	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5205	533	0.879896	0	0	0.375979	0.235233	0	0	0.503916	0.250638	0	0	0	0	0	0	0	0	0	0
k127_1	439	0.553633	0.553633	0.247982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1736	538	1.59536	0	0	0	0	0.301546	0.211159	0	0	1.29381	0.208024	0	0	0	0	0	0	0	0
k127_6941	557	1.79607	0	0	0	0	0	0	0	0	0	0	1.01228	0.327436	0	0	0	0	0.783784	0.169885
k127_5206	482	0.521084	0	0	0.521084	0.25031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_2	415	2.15094	0	0	0	0	1.46792	0.249914	0	0	0	0	0	0	0.683019	0.217323	0	0	0	0
k127_8678	565	1.08916	0.544578	0.248614	0	0	0.544578	0.248611	0	0	0	0	0	0	0	0	0	0	0	0
k127_1737	558	1.10784	0	0	0	0	0	0	0	0	0	0	0	0	1.10784	0.0964498	0	0	0	0
k127_5207	344	1.59278	0	0	0	0	0	0	0	0	0.592784	0.242642	0	0	0	0	1	0	0	0
k127_6942	389	3.5272	0	0	0	0	0.464435	0.249781	0.200837	0.161176	2.04184	0.762948	0	0	0.820084	0.148167	0	0	0	0
k127_3	523	1.68365	0	0	1.07775	0.722434	0	0	0.605898	0.239428	0	0	0	0	0	0	0	0	0	0
k127_5208	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k127_8679	375	7.01778	0.688889	0.215278	2.39111	0.587421	0	0	0.968889	0.0302778	0.991111	0.00884923	0	0	0.977778	0.0218256	0	0	1	0
k127_1738	402	1.38889	0	0	0	0	0	0	0	0	1.38889	0.238601	0	0	0	0	0	0	0	0
k127_5209	301	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k127_8680	360	1.70476	0	0	1.70476	0.209068	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_3471	1630	2.43716	0	0	0.34527	0.247844	0.503378	0.473298	0.203378	0.162129	0.449324	0.454494	0	0	0.362162	0.231157	0.30473	0.212012	0.268919	0.196735
k127_1739	426	3.63768	0	0	0.724638	0.200264	1.73188	0.255126	0	0	0	0	1.18116	0.14888	0	0	0	0	0	0
k127_4	614	1.17457	0	0	0.239224	0.182389	0	0	0	0	0	0	0.935345	0.280908	0	0	0	0	0	0
k127_3472	374	0.767857	0	0	0	0	0	0	0	0	0.714286	0.204998	0	0	0	0	0	0	0.0535714	0.0509289
k127_8681	442	1.26712	0	0	0	0	0	0	0.773973	0.17554	0	0	0	0	0	0	0	0	0.493151	0.250813
k127_6943	963	1.68266	0.099631	0.0898151	0.515375	0.713135	0	0	0.697417	0.59552	0.370234	0.233446	0	0	0	0	0	0	0	0
k127_1740	410	2.70385	0	0	0	0	1.58077	0.244416	0	0	0	0	1.12308	0.988657	0	0	0	0	0	0
k127_8682	223	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k127_5	680	2.7283	0	0	0	0	0	0	0.883019	0.957936	0	0	0.984906	0.978979	0	0	0.860377	0.963446	0	0
k127_8683	438	1.48611	0	0	1.48611	0.250677	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_3473	683	1.80863	0	0	0	0	0	0	0.894934	0.409993	0	0	0	0	0	0	0	0	0.913696	0.278251
k127_6	431	2.02135	0	0	0	0	0.829181	0.142145	0.704626	0.208871	0	0	0	0	0.487544	0.250738	0	0	0	0
k127_8684	391	2.49378	0	0	0	0	0.738589	0.19388	1.75519	0.18565	0	0	0	0	0	0	0	0	0	0
k127_3474	318	1.90476	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.904762	0.0866838
k127_6944	1049	2.5317	0	0	0.223582	0.173787	0	0	0.256952	0.19114	0.387097	0.596092	0	0	0.533927	0.249127	0.580645	0.660247	0.549499	0.463857
k127_1741	1091	2.34113	0	0	0.599362	0.431874	0.536663	0.346793	0.223167	0.173549	0.222104	0.172959	0	0	0.262487	0.193791	0.497343	0.486425	0	0
k127_8685	389	3.2636	1.81172	0.153476	0	0	1.45188	0.248725	0	0	0	0	0	0	0	0	0	0	0	0
k127_5210	1726	2.38642	0.656091	0.486103	0.525381	0.348564	0	0	0	0	0.333122	0.22229	0.33566	0.332341	0.231599	0.178075	0.304569	0.21194	0	0
k127_3475	447	0.760943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.760943	0.182523
k127_6945	301	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_7	528	1.22487	0	0	1.22487	0.328611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5211	301	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1742	353	0.886699	0	0	0	0	0	0	0	0	0.886699	0.10096	0	0	0	0	0	0	0	0
k127_6946	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k127_8686	657	1.99408	0	0	0	0	0.593688	0.2417	0.0729783	0.0677859	0	0	0.497041	0.748508	0.830375	0.927689	0	0	0	0
k127_1743	433	1.47703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47703	0.250357
k127_3476	623	1.40803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34038	0.224998	0.0676533	0.0632104
k127_5212	530	1.14474	0	0	0	0	0.592105	0.242153	0	0	0.192105	0.15561	0	0	0	0	0	0	0.360526	0.231156
k127_6947	435	1.31228	0	0	0	0	0	0	0	0	1.31228	0.215517	0	0	0	0	0	0	0	0
k127_9	449	1.21405	0	0	0	0	0	0	0	0	0	0	1.21405	0.168794	0	0	0	0	0	0
k127_8687	255	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
k127_1744	355	4.64878	2.33171	0.732569	0.936585	0.0596844	0	0	0	0	0	0	0	0	1.38049	0.236873	0	0	0	0
k127_6948	255	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
k127_3477	448	3.2349	0	0	1.34899	0.88116	1.21141	0.167277	0	0	0	0	0	0	0	0	0	0	0.674497	0.22029
k127_10	536	2.30052	0.468912	0.644487	0	0	0	0	0	0	0.779793	0.172163	0	0	1.05181	0.049257	0	0	0	0
k127_3478	534	1.6276	0	0	0	0	0	0	1.07031	0.0655393	0	0	0	0	0.557292	0.247362	0	0	0	0
k127_5213	821	2.73621	0.201192	0.160953	1.21013	1.07966	0	0	0	0	0	0	0	0	0	0	1.09091	1.58126	0.233979	0.179501
k127_6949	523	4.83646	0	0	1.79357	1.01909	0	0	0.887399	0.100191	0.286863	0.205123	0.517426	0.250368	0.506702	0.250626	0	0	0.844504	0.131669
k127_8689	675	1.76381	0	0	0	0	0.40381	0.241207	0	0	0	0	0	0	0.969524	0.735711	0.131429	0.114373	0.259048	0.451852
k127_5214	301	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k127_1745	820	1.60746	0	0	0.277612	0.200844	0	0	0	0	0	0	0.616418	0.326489	0	0	0.713433	0.602355	0	0
k127_3479	362	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k127_6950	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5215	301	1.34437	0	0	0	0	0	0	0	0	1.34437	0.227285	0	0	0	0	0	0	0	0
k127_8690	363	4.38967	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.389671	0.23895	1	0
k127_6951	301	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_11	769	1.5105	0	0	0	0	0	0	0.746365	0.82715	0	0	0	0	0	0	0.764136	0.242013	0	0
k127_1746	505	1.28451	0	0	1.28451	0.57702	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_3480	424	1.43431	0	0	0.627737	0.23454	0.806569	0.156587	0	0	0	0	0	0	0	0	0	0	0	0
k127_6952	316	2.43976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43976	0.247864	0	0
k127_8691	348	2.63636	0.888889	0.0992668	0	0	0	0	0.964646	0.0342767	0	0	0	0	0	0	0	0	0.782828	0.170871
k127_5216	460	1.17742	0	0	1.17742	0.146414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8692	249	4.9899	1	0	1	0	1	0	1.9899	0.010101	0	0	0	0	0	0	0	0	0	0
k127_12	497	1.59654	0	0	0	0	0.377522	0.235678	0	0	0	0	0	0	0	0	1.21902	0.177325	0	0
k127_5217	496	1.52601	0	0	0	0	0	0	0	0	0.982659	0.788106	0.543353	0.24884	0	0	0	0	0	0
k127_1748	471	4.72897	0.937695	0.0586063	0.691589	0.213959	0.454829	0.248734	0	0	0	0	1.59813	0.241122	0.389408	0.238513	0	0	0.657321	0.225954
k127_3481	636	1.1893	0	0	0.465021	0.249291	0	0	0.72428	0.492892	0	0	0	0	0	0	0	0	0	0
k127_6953	727	1.57019	0	0	0	0	0.391681	0.238679	0	0	0	0	0	0	0	0	0	0	1.17851	0.146899
k127_8693	454	1.47697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47697	0.250292	0	0
k127_1749	303	0.973856	0.973856	0.0256278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5218	375	1.64889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64889	0.22885
k127_13	628	1.90795	0	0	1.05021	0.387408	0	0	0.401674	0.240834	0	0	0.456067	0.705613	0	0	0	0	0	0
k127_8694	325	0.737143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.737143	0.194877
k127_6954	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5219	388	1.59244	0	0	1.59244	0.385934	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1751	334	1.84239	0	0	1.84239	0.133494	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8695	440	0.965517	0	0	0	0	0	0	0.965517	0.0334091	0	0	0	0	0	0	0	0	0	0
k127_6955	501	1.18519	0	0	0	0	0	0	1.18519	0.151323	0	0	0	0	0	0	0	0	0	0
k127_14	573	1.94326	1.10165	0.28111	0.335697	0.223533	0	0	0	0	0	0	0	0	0.50591	0.250557	0	0	0	0
k127_5220	437	1.4216	0	0	0	0	0.108014	0.096684	0	0	0	0	0	0	0	0	1.31359	0.216004	0	0
k127_3482	493	1.69971	0	0	1.18659	0.152218	0	0	0	0	0	0	0	0	0	0	0	0	0.51312	0.765178
k127_8697	363	0.741784	0	0	0	0	0	0	0.741784	0.192444	0	0	0	0	0	0	0	0	0	0
k127_6956	542	1.59184	0	0	0	0	0	0	0	0	0	0	0.451531	0.248285	0	0	0	0	1.14031	0.16185
k127_1752	808	1.88298	1.17173	0.364681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711246	0.205688
k127_15	602	1.75885	0.825221	0.57027	0	0	0.413717	0.243093	0	0	0	0	0.519912	0.250157	0	0	0	0	0	0
k127_8698	231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k127_5221	519	2.8916	1.14363	0.123336	0	0	0	0	0.341463	0.225477	0	0	0.420054	0.24427	0.98645	1.00253	0	0	0	0
k127_6957	398	0.774194	0	0	0	0	0	0	0	0	0.774194	0.175525	0	0	0	0	0	0	0	0
k127_1753	414	1.46212	1.46212	0.24951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8699	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5222	334	2.02174	0	0	0.858696	0.122	0	0	0	0	0	0	0	0	0.641304	0.23129	0	0	0.521739	0.250891
k127_1754	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5223	326	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_16	630	0.916667	0	0	0.445833	0.247582	0.470833	0.249668	0	0	0	0	0	0	0	0	0	0	0	0
k127_3483	481	0.561934	0	0	0.561934	0.246911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8700	515	1.32877	0	0	1.26027	0.19306	0	0	0	0	0	0	0	0	0	0	0.0684932	0.0639778	0	0
k127_5224	334	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k127_1755	386	2.13559	0	0	0.957627	0.0407501	0	0	0	0	0	0	0	0	0	0	0	0	1.17797	0.972446
k127_19	217	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k127_8701	304	0.0194805	0	0	0.0194805	0.0192259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1756	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5225	355	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_20	306	1.46795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46795	0.250579	0	0
k127_5226	301	0.847682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847682	0.129978	0	0
k127_8702	352	1.19802	0.5	0.251244	0	0	0	0	0	0	0	0	0	0	0.69802	0.211837	0	0	0	0
k127_6958	995	1.89704	0	0	0.518343	0.60304	0.0816568	0.0750777	0	0	0	0	0.459172	0.656207	0	0	0	0	0.83787	0.617046
k127_1757	440	1.55517	0.106897	0.0958001	0	0	0	0	0	0	0	0	0	0	0	0	1.44828	0.248181	0	0
k127_21	363	3.95775	0	0	1.99061	0.0187794	0	0	1.52113	0.250731	0	0	0.446009	0.24825	0	0	0	0	0	0
k127_8703	301	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k127_3484	481	4.15106	1.01511	0.0149227	0	0	1.35347	0.865585	0	0	1.48036	0.686734	0.302115	0.21148	0	0	0	0	0	0
k127_5227	368	2.47248	0	0	2.24771	0.436053	0	0	0	0	0	0	0	0	0	0	0	0	0.224771	0.175052
k127_6959	301	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1758	299	2.16107	1	0	0	0	0	0	1	0	0	0	0.161074	0.136042	0	0	0	0	0	0
k127_8704	301	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_22	266	1.96552	0	0	0	0	0.965517	0.0335832	0	0	0	0	0	0	0	0	1	0	0	0
k127_8705	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5228	483	1.79279	0	0	0.567568	0.246174	0	0	1.22523	0.476229	0	0	0	0	0	0	0	0	0	0
k127_6960	619	2.9467	0	0	2.01493	2.20278	0	0	0	0	0	0	0.93177	0.448325	0	0	0	0	0	0
k127_3485	393	1.53909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53909	0.249498
k127_1760	552	2.49254	0	0	0	0	0	0	0	0	1.92537	0.528081	0.567164	0.246102	0	0	0	0	0	0
k127_23	592	2.56787	0	0	0.81448	0.76369	0.0769231	0.0711668	0	0	0	0	0	0	1.02715	0.638717	0	0	0.649321	0.645452
k127_8706	478	1.10976	0	0	0	0	0	0	0	0	0	0	1.10976	0.0980086	0	0	0	0	0	0
k127_24	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1761	383	2.25751	0	0	1.54936	0.412424	0	0	0	0	0	0	0	0	0.708154	0.207563	0	0	0	0
k127_5229	728	2.65571	0	0	1.58478	0.860222	0	0	0.747405	0.937819	0	0	0	0	0.323529	0.538131	0	0	0	0
k127_25	301	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k127_6961	685	1.85794	0	0	0	0	0.317757	0.217192	0	0	0.573832	0.245007	0.573832	0.623286	0	0	0.392523	0.238895	0	0
k127_5230	301	0.854305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854305	0.125298	0	0
k127_3486	461	1.30547	0	0	0	0	0	0	0	0	1.30547	0.212841	0	0	0	0	0	0	0	0
k127_8707	628	1.62971	0.161088	0.135421	0.313808	0.215782	0	0	0.161088	0.135421	0	0	0	0	0.993724	0.480044	0	0	0	0
k127_5231	312	0.950617	0	0	0.950617	0.0472355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_6962	427	1.35379	0.65704	0.226156	0.696751	0.212055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_27	437	1.22648	0	0	0	0	0.620209	0.236373	0	0	0	0	0	0	0	0	0	0	0.606272	0.239541
k127_1762	683	1.77298	0	0	0.984991	0.875713	0	0	0	0	0	0	0.270169	0.197548	0	0	0	0	0.517824	0.250152
k127_3487	301	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_6963	309	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8708	532	2.54712	0	0	1.09948	0.0898159	0	0	0	0	0	0	0	0	0	0	0	0	1.44764	0.625861
k127_5232	527	1.08223	0	0	0	0	0	0	0	0	0.482759	0.250367	0	0	0	0	0	0	0.599469	0.240745
k127_28	472	1.96894	0	0	0	0	0	0	1.45031	0.752974	0.518634	0.25043	0	0	0	0	0	0	0	0
k127_1763	480	1.57879	0	0	0	0	0.475758	0.250171	1.10303	0.262909	0	0	0	0	0	0	0	0	0	0
k127_6964	459	1.14239	0	0	0	0	1.14239	0.122514	0	0	0	0	0	0	0	0	0	0	0	0
k127_1764	335	3.74595	0	0	1.74595	0.19054	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k127_29	364	0.78972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78972	0.166842	0	0
k127_5233	523	1.99464	0	0	0.745308	0.190334	0	0	0.844504	0.448876	0.404826	0.24159	0	0	0	0	0	0	0	0
k127_1765	305	0.870968	0	0	0	0	0	0	0.870968	0.113113	0	0	0	0	0	0	0	0	0	0
k127_3488	444	5.12585	0.544218	0.248891	0	0	0.704082	0.209062	0	0	1.47619	0.434585	0	0	0.887755	0.0999861	0	0	1.51361	0.250668
k127_6966	397	5.5668	0	0	0	0	0	0	1.85425	0.125012	0.441296	0.247555	1.83401	1.28534	0.724696	0.200321	0.712551	0.921103	0	0
k127_30	358	3.60096	0.884615	0.102564	0	0	0	0	0	0	0	0	0	0	0	0	2.71635	0.648621	0	0
k127_8709	872	1.7964	0.375346	0.503869	0	0	0	0	0.574792	0.244745	0	0	0	0	0.0512465	0.0486868	0	0	0.795014	0.465553
k127_5234	672	2.34866	0	0	1.93487	2.27214	0.325671	0.220031	0	0	0	0	0	0	0	0	0	0	0.0881226	0.0805116
k127_1766	509	1.25905	1.25905	0.516504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8710	355	1.62439	0	0	1.45366	0.249068	0	0	0	0	0	0	0	0	0	0	0	0	0.170732	0.142277
k127_8711	301	1.07285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07285	0.0679916
k127_6967	726	2.85069	0	0	0.555556	0.803867	0	0	0	0	0	0	1.28819	0.487234	0	0	0	0	1.00694	0.232994
k127_8712	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k127_5235	451	1.49834	0.445183	0.247819	1.05316	0.110498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_6968	301	2.62252	0	0	2.62252	0.236556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_31	871	2.43828	0	0	0.70319	0.439557	0	0	0.288488	0.466656	0.664355	0.634406	0	0	0	0	0	0	0.782247	0.859463
k127_5236	301	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_1767	799	1.89831	0	0	0.728814	0.537455	0	0	0.705701	0.556772	0	0	0	0	0	0	0.46379	0.249074	0	0
k127_3489	731	0.743546	0	0	0.299484	0.210155	0.289157	0.205899	0	0	0	0	0	0	0	0	0.154905	0.131135	0	0
k127_6969	563	0.547216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547216	0.248373
k127_8713	567	1.86811	0	0	0	0	0	0	0.640288	0.230874	0	0	0.992806	0.911002	0	0	0.235012	0.180213	0	0
